invoeden_EURMWh,afnemen_EURMWh,imbalance_demand,imbalance_supply
29.71,44.08,0,-39024
29.71,29.71,0,-6187
36.08,36.08,37538,0
16.97,16.97,67761,0
4.47,44.25,18220,0
28.2,45.68,2905,0
36.08,36.08,29216,0
34.16,34.16,36409,0
23.54,23.54,45481,0
51.94,51.94,0,-20051
51.94,51.94,0,-29438
46.46,46.46,0,-12753
51.94,51.94,0,-32770
47.87,47.87,0,-27713
45.75,45.75,0,-15064
45.95,45.95,0,-14108
52.95,52.95,0,-35733
47.87,47.87,0,-16349
43.97,43.97,0,-5000
72.15,72.15,0,-37075
90.96,90.96,0,-55619
50.13,50.13,0,-43515
47.87,47.87,0,-18832
41.15,43.87,0,-17050
39.74,39.74,38183,0
44.83,44.83,8685,0
22.4,22.4,5901,0
51.94,51.94,0,-28243
45.15,45.15,0,-11096
46.12,46.12,0,-9723
78.72,78.72,0,-55276
42.72,48.37,0,-16814
67.31,67.31,0,-17778
40.33,40.33,55045,0
46.12,46.12,0,-2056
46.12,46.12,6552,0
12.73,12.73,110689,0
38.92,38.92,59642,0
173.35,173.35,0,-58559
173.35,173.35,0,-93672
39.91,39.91,41730,0
51.2,51.2,0,-10875
51.2,51.2,0,-33471
51.2,51.2,0,-61040
67.0,67.0,0,-47487
47.2,47.2,0,-11138
39.2,39.2,22846,0
39.2,39.2,26224,0
37.19,44.75,4398,0
35.2,35.2,8530,0
39.34,39.34,16104,0
24.04,24.04,47769,0
136.15,136.15,0,-65240
35.2,35.2,16678,0
16.65,16.65,47517,0
35.2,35.2,37986,0
51.2,51.2,0,-43068
46.07,46.07,0,-3492
31.2,31.2,26629,0
31.2,31.2,24027,0
40.54,44.62,0,-11026
44.62,44.62,0,-35304
46.12,46.12,0,-28084
46.12,46.12,0,-35582
43.87,43.87,2502,0
44.62,44.62,0,-6237
49.9,49.9,0,-27089
47.2,47.2,0,-19337
42.9,42.9,39982,0
47.2,47.2,0,-7804
51.2,51.2,0,-48463
51.2,51.2,0,-51625
42.51,44.86,77121,0
40.26,40.26,60316,0
43.2,43.2,19168,0
67.0,67.0,0,-44531
42.57,53.38,7192,0
119.15,119.15,0,-46423
126.89,126.89,0,-81280
75.64,75.64,0,-45252
74.22,74.22,0,-136985
63.71,63.71,0,-74250
51.15,51.15,0,-50655
48.27,48.27,0,-38128
169.1,169.1,0,-88730
169.1,169.1,0,-45895
31.2,31.2,28308,0
39.05,46.05,0,-1830
90.23,90.23,0,-33680
48.8,48.8,0,-5810
44.09,44.09,6743,0
27.56,43.2,13714,0
60.86,60.86,0,-42875
50.16,50.16,0,-14687
39.97,39.97,14992,0
32.37,32.37,34531,0
27.77,80.15,0,-65463
68.25,68.25,0,-64960
49.15,49.15,0,-28225
29.83,29.83,0,-19144
51.2,51.2,0,-59112
46.12,46.12,0,-38040
43.2,43.2,0,-28977
44.38,44.38,0,-9923
35.2,35.2,19969,0
27.63,27.63,0,-28267
27.68,27.68,0,-34731
27.68,27.68,0,-26859
66.88,66.88,0,-49031
56.12,56.12,0,-44408
47.2,47.2,0,-24834
51.2,51.2,0,-39052
66.88,66.88,0,-61630
51.16,51.16,0,-51678
51.2,51.2,0,-43769
45.72,45.72,0,-48446
47.2,47.2,0,-7651
51.2,51.2,0,-27468
47.2,47.2,0,-31854
29.79,29.79,0,-41240
46.43,46.43,0,-21432
43.2,43.2,0,-40316
51.2,51.2,0,-62077
48.86,48.86,0,-63055
46.48,46.48,0,-13622
51.59,51.59,0,-30970
102.16,102.16,0,-76235
116.4,116.4,0,-81286
51.59,51.59,0,-56182
90.29,90.29,0,-82977
178.28,178.28,0,-136668
178.28,178.28,0,-190324
-68.16,-68.16,167730,0
43.43,43.43,7940,0
52.6,52.6,0,-82908
215.19,215.19,0,-185077
43.96,43.96,10055,0
43.96,43.96,0,-46772
51.17,51.17,0,-64218
47.07,47.07,0,-86994
44.88,44.88,0,-86760
43.92,43.92,0,-55067
43.43,43.43,0,-37633
46.7,46.7,0,-60696
51.15,51.15,0,-100456
43.43,43.43,0,-88051
43.98,43.98,0,-85204
43.43,43.43,0,-91820
235.71,235.71,0,-185716
58.42,58.42,0,-106640
80.0,80.0,0,-98080
50.0,50.0,0,-96128
49.72,49.72,0,-127507
47.43,47.43,0,-97299
43.66,43.66,0,-67240
43.67,43.67,0,-61738
55.0,55.0,0,-71008
50.23,50.23,0,-68735
43.61,43.61,0,-61679
46.23,46.23,0,-72122
44.5,44.5,0,-84343
44.51,44.51,0,-76947
43.58,43.58,0,-76305
44.51,44.51,0,-85315
222.96,222.96,0,-168851
84.16,84.16,0,-133615
125.4,125.4,0,-156046
222.96,222.96,0,-185443
376.78,376.78,0,-55094
35.43,44.98,0,-134
56.78,56.78,0,-40187
141.16,141.16,0,-70041
41.59,41.59,98649,0
44.03,44.03,49724,0
44.03,44.03,52088,0
45.09,45.09,94703,0
39.34,65.15,0,-3604
32.84,32.84,33284,0
39.34,39.34,40625,0
31.43,31.43,63119,0
129.16,129.16,0,-45955
38.18,38.18,22355,0
39.36,39.36,29769,0
17.25,17.25,67670,0
52.52,52.52,0,-153338
44.88,44.88,0,-66801
44.93,44.93,0,-18915
39.24,39.24,18631,0
52.52,52.52,0,-66049
44.38,44.38,0,-13077
32.8,32.8,38142,0
31.43,31.43,65109,0
44.09,44.09,0,-77106
44.77,44.77,0,-27539
35.43,35.43,27798,0
34.02,34.02,39660,0
35.86,35.86,0,-6674
41.16,41.16,0,-9079
34.13,34.13,44845,0
29.41,29.41,31123,0
146.02,146.02,0,-115631
141.43,141.43,0,-108536
246.0,246.0,0,-86019
42.28,42.28,0,-28439
140.02,140.02,0,-100553
69.12,69.12,0,-82556
57.22,57.22,0,-82839
43.18,43.18,0,-84601
142.21,142.21,0,-148133
142.21,142.21,0,-119135
43.49,43.49,0,-90700
43.53,43.53,0,-107931
83.53,83.53,0,-153898
69.69,69.69,0,-128885
129.91,129.91,0,-131961
142.59,142.59,0,-104884
43.48,43.48,0,-75597
43.53,43.53,0,-73268
43.53,43.53,0,-97905
43.43,43.43,0,-136301
43.55,43.55,0,-48512
43.53,43.53,0,-77477
138.69,138.69,0,-104193
69.69,69.69,0,-34812
44.93,44.93,0,-7588
44.73,44.73,0,-37821
48.61,48.61,0,-32139
69.14,69.14,0,-113563
42.21,48.21,34139,0
40.27,40.27,41938,0
40.27,40.27,28597,0
69.14,69.14,0,-61735
51.42,51.42,9095,0
44.22,44.22,0,-51533
44.45,44.45,0,-70269
53.57,53.57,0,-95624
53.57,53.57,0,-35483
50.77,50.77,0,-23545
45.1,45.1,0,-4652
41.93,41.93,0,-1780
44.6,44.6,8424,0
45.08,45.08,196,0
40.27,40.27,7734,0
37.28,37.28,24922,0
211.67,211.67,0,-91351
52.55,52.55,0,-30105
53.57,53.57,0,-35010
46.87,46.87,0,-15526
49.34,49.34,0,-38385
45.07,45.07,0,-18710
38.86,38.86,15786,0
33.28,33.28,31671,0
33.28,33.28,37038,0
33.28,33.28,39655,0
33.28,33.28,37027,0
23.43,23.43,28528,0
